municipio,count
Abasolo,4
Acámbaro,7
Apaseo el Alto,4
Apaseo el Grande,10
Atarjea,0
Celaya,46
Comonfort,13
Coroneo,1
Cortazar,7
Cuerámaro,1
Doctor Mora,2
Dolores Hidalgo Cuna de la Independencia Nacional,11
Guanajuato,26
Guanajuato,26
Huanímaro,2
Irapuato,41
Jaral del Progreso,5
Jerécuaro,4
León,147
Manuel Doblado,3
Moroleón,4
Municipio no especificado,0
Ocampo,0
Pueblo Nuevo,3
Purísima del Rincón,2
Pénjamo,3
Romita,5
Salamanca,14
Salvatierra,6
San Diego de la Unión,2
San Felipe,9
San Francisco del Rincón,18
San José Iturbide,8
San Luis de la Paz,12
San Miguel de Allende,26
Santa Catarina,0
Santa Cruz de Juventino Rosas,6
Santiago Maravatío,0
Silao,8
Tarandacuao,2
Tarimoro,4
Tierra Blanca,1
Uriangato,4
Valle de Santiago,12
Victoria,0
Villagrán,3
Xichú,1
Yuriria,9
