municipio,count
Abasolo,1
Acámbaro,8
Apaseo el Alto,3
Apaseo el Grande,1
Atarjea,0
Celaya,18
Comonfort,0
Coroneo,0
Cortazar,8
Cuerámaro,2
Doctor Mora,0
Dolores Hidalgo Cuna de la Independencia Nacional,3
Guanajuato,18
Guanajuato,18
Huanímaro,0
Irapuato,17
Jaral del Progreso,1
Jerécuaro,1
León,88
Manuel Doblado,4
Moroleón,7
Municipio no especificado,1
Ocampo,0
Pueblo Nuevo,0
Purísima del Rincón,4
Pénjamo,2
Romita,0
Salamanca,12
Salvatierra,6
San Diego de la Unión,3
San Felipe,11
San Francisco del Rincón,3
San José Iturbide,1
San Luis de la Paz,4
San Miguel de Allende,6
Santa Catarina,0
Santa Cruz de Juventino Rosas,6
Santiago Maravatío,0
Silao,4
Tarandacuao,0
Tarimoro,2
Tierra Blanca,4
Uriangato,2
Valle de Santiago,9
Victoria,1
Villagrán,1
Xichú,1
Yuriria,4
