municipio,count
Abasolo,4
Acámbaro,2
Apaseo el Alto,1
Apaseo el Grande,4
Atarjea,0
Celaya,14
Comonfort,2
Coroneo,0
Cortazar,4
Cuerámaro,0
Doctor Mora,0
Dolores Hidalgo Cuna de la Independencia Nacional,4
Guanajuato,10
Guanajuato,10
Huanímaro,1
Irapuato,16
Jaral del Progreso,2
Jerécuaro,3
León,51
Manuel Doblado,1
Moroleón,0
Municipio no especificado,0
Ocampo,2
Pueblo Nuevo,0
Purísima del Rincón,1
Pénjamo,5
Romita,2
Salamanca,11
Salvatierra,5
San Diego de la Unión,1
San Felipe,1
San Francisco del Rincón,1
San José Iturbide,2
San Luis de la Paz,2
San Miguel de Allende,7
Santa Catarina,1
Santa Cruz de Juventino Rosas,2
Santiago Maravatío,0
Silao,7
Tarandacuao,1
Tarimoro,1
Tierra Blanca,1
Uriangato,1
Valle de Santiago,6
Victoria,2
Villagrán,3
Xichú,1
Yuriria,2
