municipio,count
Abasolo,3
Acámbaro,7
Apaseo el Alto,5
Apaseo el Grande,6
Atarjea,0
Celaya,29
Comonfort,4
Coroneo,1
Cortazar,15
Cuerámaro,3
Doctor Mora,1
Dolores Hidalgo Cuna de la Independencia Nacional,7
Guanajuato,16
Guanajuato,16
Huanímaro,3
Irapuato,36
Jaral del Progreso,3
Jerécuaro,4
León,97
Manuel Doblado,4
Moroleón,3
Municipio no especificado,0
Ocampo,0
Pueblo Nuevo,1
Purísima del Rincón,1
Pénjamo,3
Romita,1
Salamanca,7
Salvatierra,3
San Diego de la Unión,0
San Felipe,4
San Francisco del Rincón,13
San José Iturbide,3
San Luis de la Paz,8
San Miguel de Allende,10
Santa Catarina,0
Santa Cruz de Juventino Rosas,8
Santiago Maravatío,0
Silao,5
Tarandacuao,0
Tarimoro,2
Tierra Blanca,0
Uriangato,2
Valle de Santiago,5
Victoria,1
Villagrán,2
Xichú,2
Yuriria,2
