municipio,count
Abasolo,4
Acámbaro,4
Apaseo el Alto,0
Apaseo el Grande,4
Atarjea,1
Celaya,31
Comonfort,4
Coroneo,0
Cortazar,4
Cuerámaro,4
Doctor Mora,1
Dolores Hidalgo Cuna de la Independencia Nacional,1
Guanajuato,10
Guanajuato,10
Huanímaro,0
Irapuato,18
Jaral del Progreso,1
Jerécuaro,0
León,84
Manuel Doblado,1
Moroleón,3
Municipio no especificado,0
Ocampo,0
Pueblo Nuevo,1
Purísima del Rincón,1
Pénjamo,7
Romita,3
Salamanca,12
Salvatierra,9
San Diego de la Unión,1
San Felipe,3
San Francisco del Rincón,2
San José Iturbide,5
San Luis de la Paz,7
San Miguel de Allende,9
Santa Catarina,0
Santa Cruz de Juventino Rosas,12
Santiago Maravatío,0
Silao,3
Tarandacuao,0
Tarimoro,2
Tierra Blanca,1
Uriangato,5
Valle de Santiago,4
Victoria,1
Villagrán,4
Xichú,1
Yuriria,4
