municipio,count
Abasolo,1
Acámbaro,7
Apaseo el Alto,3
Apaseo el Grande,3
Atarjea,0
Celaya,32
Comonfort,2
Coroneo,0
Cortazar,7
Cuerámaro,1
Doctor Mora,2
Dolores Hidalgo Cuna de la Independencia Nacional,4
Guanajuato,8
Guanajuato,8
Huanímaro,0
Irapuato,29
Jaral del Progreso,1
Jerécuaro,2
León,76
Manuel Doblado,3
Moroleón,4
Municipio no especificado,0
Ocampo,0
Pueblo Nuevo,0
Purísima del Rincón,2
Pénjamo,9
Romita,1
Salamanca,11
Salvatierra,5
San Diego de la Unión,1
San Felipe,5
San Francisco del Rincón,6
San José Iturbide,4
San Luis de la Paz,2
San Miguel de Allende,7
Santa Catarina,0
Santa Cruz de Juventino Rosas,6
Santiago Maravatío,0
Silao,7
Tarandacuao,1
Tarimoro,4
Tierra Blanca,4
Uriangato,6
Valle de Santiago,8
Victoria,0
Villagrán,1
Xichú,1
Yuriria,2
