municipio,count
Abasolo,1
Acámbaro,0
Apaseo el Alto,2
Apaseo el Grande,2
Atarjea,0
Celaya,33
Comonfort,3
Coroneo,1
Cortazar,7
Cuerámaro,5
Doctor Mora,3
Dolores Hidalgo Cuna de la Independencia Nacional,3
Guanajuato,13
Guanajuato,13
Huanímaro,0
Irapuato,30
Jaral del Progreso,5
Jerécuaro,4
León,84
Manuel Doblado,1
Moroleón,7
Municipio no especificado,0
Ocampo,1
Pueblo Nuevo,1
Purísima del Rincón,2
Pénjamo,4
Romita,2
Salamanca,7
Salvatierra,6
San Diego de la Unión,1
San Felipe,5
San Francisco del Rincón,5
San José Iturbide,4
San Luis de la Paz,3
San Miguel de Allende,8
Santa Catarina,0
Santa Cruz de Juventino Rosas,6
Santiago Maravatío,1
Silao,8
Tarandacuao,0
Tarimoro,3
Tierra Blanca,1
Uriangato,5
Valle de Santiago,5
Victoria,0
Villagrán,3
Xichú,0
Yuriria,8
