municipio,count
Abasolo,2
Acámbaro,1
Apaseo el Alto,1
Apaseo el Grande,6
Atarjea,0
Celaya,18
Comonfort,2
Coroneo,1
Cortazar,8
Cuerámaro,1
Doctor Mora,0
Dolores Hidalgo Cuna de la Independencia Nacional,4
Guanajuato,8
Guanajuato,8
Huanímaro,0
Irapuato,23
Jaral del Progreso,0
Jerécuaro,1
León,61
Manuel Doblado,0
Moroleón,2
Municipio no especificado,0
Ocampo,0
Pueblo Nuevo,1
Purísima del Rincón,2
Pénjamo,3
Romita,2
Salamanca,8
Salvatierra,2
San Diego de la Unión,1
San Felipe,2
San Francisco del Rincón,6
San José Iturbide,0
San Luis de la Paz,1
San Miguel de Allende,5
Santa Catarina,0
Santa Cruz de Juventino Rosas,2
Santiago Maravatío,0
Silao,11
Tarandacuao,1
Tarimoro,4
Tierra Blanca,0
Uriangato,3
Valle de Santiago,3
Victoria,1
Villagrán,1
Xichú,0
Yuriria,4
