municipio,count
Abasolo,2
Acámbaro,7
Apaseo el Alto,4
Apaseo el Grande,1
Atarjea,0
Celaya,17
Comonfort,1
Coroneo,0
Cortazar,3
Cuerámaro,1
Doctor Mora,0
Dolores Hidalgo Cuna de la Independencia Nacional,2
Guanajuato,11
Guanajuato,11
Huanímaro,1
Irapuato,16
Jaral del Progreso,2
Jerécuaro,0
León,62
Manuel Doblado,0
Moroleón,5
Municipio no especificado,0
Ocampo,1
Pueblo Nuevo,0
Purísima del Rincón,0
Pénjamo,8
Romita,4
Salamanca,14
Salvatierra,2
San Diego de la Unión,1
San Felipe,2
San Francisco del Rincón,4
San José Iturbide,5
San Luis de la Paz,2
San Miguel de Allende,4
Santa Catarina,0
Santa Cruz de Juventino Rosas,3
Santiago Maravatío,0
Silao,7
Tarandacuao,1
Tarimoro,2
Tierra Blanca,0
Uriangato,1
Valle de Santiago,8
Victoria,0
Villagrán,3
Xichú,0
Yuriria,7
