municipio,count
Abasolo,6
Acámbaro,6
Apaseo el Alto,6
Apaseo el Grande,5
Atarjea,0
Celaya,38
Comonfort,8
Coroneo,0
Cortazar,12
Cuerámaro,1
Doctor Mora,3
Dolores Hidalgo Cuna de la Independencia Nacional,9
Guanajuato,24
Guanajuato,24
Huanímaro,0
Irapuato,28
Jaral del Progreso,2
Jerécuaro,3
León,142
Manuel Doblado,5
Moroleón,8
Municipio no especificado,0
Ocampo,0
Pueblo Nuevo,0
Purísima del Rincón,11
Pénjamo,6
Romita,2
Salamanca,19
Salvatierra,5
San Diego de la Unión,1
San Felipe,4
San Francisco del Rincón,10
San José Iturbide,10
San Luis de la Paz,8
San Miguel de Allende,11
Santa Catarina,0
Santa Cruz de Juventino Rosas,6
Santiago Maravatío,0
Silao,11
Tarandacuao,0
Tarimoro,2
Tierra Blanca,0
Uriangato,10
Valle de Santiago,8
Victoria,2
Villagrán,5
Xichú,1
Yuriria,5
