municipio,count
Abasolo,1
Acámbaro,2
Apaseo el Alto,3
Apaseo el Grande,1
Atarjea,0
Celaya,16
Comonfort,1
Coroneo,0
Cortazar,8
Cuerámaro,0
Doctor Mora,0
Dolores Hidalgo Cuna de la Independencia Nacional,5
Guanajuato,3
Guanajuato,3
Huanímaro,0
Irapuato,15
Jaral del Progreso,1
Jerécuaro,1
León,42
Manuel Doblado,3
Moroleón,3
Municipio no especificado,0
Ocampo,0
Pueblo Nuevo,0
Purísima del Rincón,1
Pénjamo,4
Romita,4
Salamanca,8
Salvatierra,3
San Diego de la Unión,1
San Felipe,6
San Francisco del Rincón,4
San José Iturbide,1
San Luis de la Paz,3
San Miguel de Allende,7
Santa Catarina,0
Santa Cruz de Juventino Rosas,3
Santiago Maravatío,0
Silao,3
Tarandacuao,1
Tarimoro,1
Tierra Blanca,1
Uriangato,2
Valle de Santiago,8
Victoria,0
Villagrán,1
Xichú,0
Yuriria,0
