municipio,count
Abasolo,1
Acámbaro,3
Apaseo el Alto,0
Apaseo el Grande,4
Atarjea,0
Celaya,18
Comonfort,1
Coroneo,1
Cortazar,3
Cuerámaro,1
Doctor Mora,1
Dolores Hidalgo Cuna de la Independencia Nacional,2
Guanajuato,4
Guanajuato,4
Huanímaro,0
Irapuato,17
Jaral del Progreso,1
Jerécuaro,0
León,53
Manuel Doblado,1
Moroleón,1
Municipio no especificado,0
Ocampo,1
Pueblo Nuevo,0
Purísima del Rincón,1
Pénjamo,6
Romita,2
Salamanca,12
Salvatierra,1
San Diego de la Unión,0
San Felipe,1
San Francisco del Rincón,3
San José Iturbide,0
San Luis de la Paz,4
San Miguel de Allende,6
Santa Catarina,0
Santa Cruz de Juventino Rosas,0
Santiago Maravatío,0
Silao,4
Tarandacuao,0
Tarimoro,0
Tierra Blanca,1
Uriangato,2
Valle de Santiago,3
Victoria,0
Villagrán,2
Xichú,0
Yuriria,4
