municipio,count
Abasolo,3
Acámbaro,5
Apaseo el Alto,1
Apaseo el Grande,1
Atarjea,0
Celaya,5
Comonfort,1
Coroneo,1
Cortazar,4
Cuerámaro,1
Doctor Mora,0
Dolores Hidalgo Cuna de la Independencia Nacional,5
Guanajuato,4
Guanajuato,4
Huanímaro,0
Irapuato,21
Jaral del Progreso,1
Jerécuaro,2
León,37
Manuel Doblado,2
Moroleón,5
Municipio no especificado,0
Ocampo,0
Pueblo Nuevo,1
Purísima del Rincón,1
Pénjamo,3
Romita,1
Salamanca,14
Salvatierra,5
San Diego de la Unión,2
San Felipe,1
San Francisco del Rincón,2
San José Iturbide,1
San Luis de la Paz,2
San Miguel de Allende,6
Santa Catarina,0
Santa Cruz de Juventino Rosas,0
Santiago Maravatío,1
Silao,2
Tarandacuao,1
Tarimoro,2
Tierra Blanca,0
Uriangato,5
Valle de Santiago,0
Victoria,0
Villagrán,1
Xichú,0
Yuriria,2
