municipio,count
Abasolo,3
Acámbaro,2
Apaseo el Alto,1
Apaseo el Grande,1
Atarjea,0
Celaya,16
Comonfort,1
Coroneo,0
Cortazar,4
Cuerámaro,4
Doctor Mora,1
Dolores Hidalgo Cuna de la Independencia Nacional,5
Guanajuato,3
Guanajuato,3
Huanímaro,1
Irapuato,26
Jaral del Progreso,0
Jerécuaro,1
León,40
Manuel Doblado,1
Moroleón,1
Municipio no especificado,0
Ocampo,1
Pueblo Nuevo,2
Purísima del Rincón,0
Pénjamo,4
Romita,1
Salamanca,7
Salvatierra,0
San Diego de la Unión,1
San Felipe,2
San Francisco del Rincón,2
San José Iturbide,2
San Luis de la Paz,4
San Miguel de Allende,6
Santa Catarina,0
Santa Cruz de Juventino Rosas,4
Santiago Maravatío,0
Silao,4
Tarandacuao,0
Tarimoro,0
Tierra Blanca,0
Uriangato,1
Valle de Santiago,4
Victoria,0
Villagrán,1
Xichú,0
Yuriria,0
