municipio,count
Abasolo,5
Acámbaro,7
Apaseo el Alto,3
Apaseo el Grande,8
Atarjea,0
Celaya,39
Comonfort,9
Coroneo,0
Cortazar,9
Cuerámaro,3
Doctor Mora,3
Dolores Hidalgo Cuna de la Independencia Nacional,6
Guanajuato,22
Guanajuato,22
Huanímaro,0
Irapuato,50
Jaral del Progreso,4
Jerécuaro,2
León,151
Manuel Doblado,1
Moroleón,4
Municipio no especificado,15
Ocampo,5
Pueblo Nuevo,1
Purísima del Rincón,4
Pénjamo,5
Romita,4
Salamanca,16
Salvatierra,9
San Diego de la Unión,0
San Felipe,8
San Francisco del Rincón,9
San José Iturbide,7
San Luis de la Paz,10
San Miguel de Allende,7
Santa Catarina,2
Santa Cruz de Juventino Rosas,9
Santiago Maravatío,1
Silao,7
Tarandacuao,3
Tarimoro,2
Tierra Blanca,4
Uriangato,4
Valle de Santiago,18
Victoria,2
Villagrán,8
Xichú,0
Yuriria,4
